,pop_code,speaker,date,location,speech_id,translated_sentence
229,0,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"Now they hope to trap us, betting that we will not have a parliamentary majority in the next parliament."
516,0,Eric Zemmour,27-03-22,"Paris, FR",2022_03_27_zemmour.txt,"But the truth, nothing but the truth, the whole truth."
592,0,Eric Zemmour,27-03-22,"Paris, FR",2022_03_27_zemmour.txt,"Here, at the Trocadero, a youth has risen up."
1275,0,Herbert Kickl,07-09-24,"Vienna, AT",2024_09_07_kickl.txt,"And the children could play outside, they could play in the streets, in the parks, in the woods, without any danger of being harassed or assaulted."
1384,0,Herbert Kickl,07-09-24,"Vienna, AT",2024_09_07_kickl.txt,This is a privilege for Austrian citizens.
1148,0,Herbert Kickl,07-09-24,"Vienna, AT",2024_09_07_kickl.txt,I love our Freedom Party.
1285,0,Herbert Kickl,07-09-24,"Vienna, AT",2024_09_07_kickl.txt,"And I've been asking myself the whole time with this comparison, why was it like that back then and why is everything different today?"
23,0,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,The time is coming.
1187,0,Herbert Kickl,07-09-24,"Vienna, AT",2024_09_07_kickl.txt,"What is currently happening in Germany with VW, dear friends, is a sign of the fence-jumping."
756,0,Eric Zemmour,27-03-22,"Paris, FR",2022_03_27_zemmour.txt,I can't stay away from you any longer.
294,1,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,Those who did not want the Troika to steal their glory for so many years and said we get the glory of layoffs and cuts in wages and pensions?
149,1,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,Do you believe that they will not implement the measures they have already committed to the lenders?
262,1,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,The Europe of the baker on Kos who distributes bread to refugee children from his savings or the Europe of the Hungarian Prime Minister who builds fences and distributes bullets and tear gas to refugees?
184,1,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,"Because this Sunday, this Sunday is not just about SYRIZA taking on corruption, corruption and dependency."
318,1,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"Mr. Meimarakis and Mr. Samaras, who have turned the vast majority of private sector workers into unemployed and semi-employed?"
327,1,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"Those who, in June, propagated the YES to the agreement given to us by the lenders that abolished all tax breaks at once?"
321,1,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,Those who agreed with the creditors to their annihilation?
319,1,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,Those who abolished collective bargaining and introduced political conscription and mass redundancies?
40,1,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,It is a government extortionist.
185,1,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,"SYRIZA is not just taking on the two parties of dependence and voluntary work, New Democracy and PASOK."
1014,2,Marine Le Pen,18-09-22,"Paris, FR",2022_09_18_lepen.txt,"By giving us the largest opposition group, the French have clearly designated us as the force of alternation."
524,2,Eric Zemmour,27-03-22,"Paris, FR",2022_03_27_zemmour.txt,"We are the vote of truth and we are the vital vote because to tell the truth is to be free, to be great, to stand tall."
339,2,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"Because the Greek people want us to continue the effort, the struggle that we started 7 months ago and to complete the programme for the great democratic transformation of Greek society."
186,2,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,This Sunday our people are taking on their history.
1028,2,Marine Le Pen,18-09-22,"Paris, FR",2022_09_18_lepen.txt,"For me, the decision to pass on the torch is in fact the choice to move beyond partisan management and speak beyond our party, our political family and our current of thought to all French people, to French people who are tempted but don't dare to take the plunge, to French people who are critical of us, perhaps because they don't know us or know us too well."
180,2,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,Now is the time for patriotic and democratic rallying of all of us.
505,2,Eric Zemmour,27-03-22,"Paris, FR",2022_03_27_zemmour.txt,The people think it's my strength.
807,2,Eric Zemmour,27-03-22,"Paris, FR",2022_03_27_zemmour.txt,I appeal to all those who want peace and tranquility in our country.
88,2,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,"Our people have a memory, Mr. Samaras."
1138,2,Herbert Kickl,07-09-24,"Vienna, AT",2024_09_07_kickl.txt,"And here in Austria, too, the citizens will ensure that freedom and justice tear down this wall, just as they did back then."
239,3,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"And in this crucial referendum on Sunday, as in July, our people will again say a big no, no to the return of the old and bankrupt political system, no to the restoration of the oligarchy regime, of the regime of corruption and interconnection, no to the old, the oldest of the old, which is the New Democracy of Mr Meimarakis and the political staff that has driven the country to the rocks and is now taking revenge on our people."
338,3,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"Because the Greek people do not want the restoration of the political forces that drove Greece over the cliffs, that exploited, devalued and ultimately destroyed the state and the institutions."
365,3,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"And we call on him to fight the battle together, to fight the battle together so that the ground we have conquered is not taken back."
330,3,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"Citizens of Athens, there is no doubt that only SYRIZA with the support of the people can protect and represent the interests of the social majority against the lenders."
238,3,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,"The dilemma of the ballot box is whether to return again to the old regime that ruled the country for 40 years, burdening the people with debts and deficits, or to move forward, continuing the great effort of liberating our people from the shackles of the past."
1211,3,Herbert Kickl,07-09-24,"Vienna, AT",2024_09_07_kickl.txt,"On the contrary, because what we are doing is taking power out of the hands of those who did not mean well and putting it back into your hands."
177,3,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,"But you know, as long as they reveal to us that we are dangerous to their interests, they assure us that we represent the interests of the Greek people, that we represent the interests of all the peoples of Europe and that we will defeat them."
356,3,Alexis Tsipras,18-09-15,"Athens, GR",2015_09_18_tsipras.txt,But they won't succeed because we have no protectors and we don't answer to anyone but you.
190,3,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,"Our people have no reason to be afraid anymore, because they have the fresh experience of June 2012, when all the big powers, the banks, the multinationals inside and outside Greece, when the two parties that for 38 years had been posing as rival parties came together and merged into one party with one fund and common sponsors in order to face their enemy, SYRIZA, which was the only real ally of our people."
2,3,Alexis Tsipras,22-05-14,"Athens, GR",2014_05_22_tsipras.txt,"So now, with your magnificent presence today in the square of Omonia, the square that symbolizes the repulsion of every division, such as the one that the government of Mrs. Merkel's subordinates is trying to sow in Greek society, you are sending the message, you are sending the message of the great democratic upheavals that are coming, you are sending the message of the unity of an entire people in the great effort of reconstruction, in the great effort of progress."
